zone_id,central_lat,central_lon,zone_name
0,40.7127,-74.0134,One World Trade Center
1,40.7075,-74.0113,Wall Street
2,40.7033,-74.017,Statue of Liberty Ferry
3,40.7032,-74.017,Battery Park
4,40.717,-74.0007,Canal Street
5,40.7145,-73.9982,Doyers Street
6,40.7209,-74.0113,Hudson River Park Pier 25
7,40.723,-74.0025,Spring Street
8,40.7308,-73.9973,Washington Square Park
9,40.725,-74.0031,Bleecker Street
10,40.7479,-74.0049,The High Line
11,40.7424,-74.006,Chelsea Market
12,40.7411,-73.9897,Flatiron Building
13,40.7359,-73.9911,Union Square Park
14,40.758,-73.9855,Times Square
15,40.7614,-73.9776,MoMA
16,40.7587,-73.9787,Rockefeller Center
17,40.7527,-73.977,Grand Central Terminal
18,40.7484,-73.9857,Empire State Building
19,40.7475,-73.985,Koreatown 32nd Street
20,40.7813,-73.9735,American Museum of Natural History
21,40.7736,-73.9832,Lincoln Center
22,40.7794,-73.9632,Metropolitan Museum of Art
23,40.783,-73.959,Guggenheim Museum
24,40.7756,-73.9706,Bethesda Fountain
25,40.7812,-73.9665,Great Lawn
26,40.8101,-73.9501,Apollo Theater
27,40.804,-73.9438,Marcus Garvey Park
28,40.8649,-73.9317,The Cloisters
29,40.8626,-73.931,Fort Tryon Park
30,40.7614,-73.9496,Roosevelt Island Tram
31,40.7549,-73.9535,Four Freedoms Park
